,from,to,F,p,GC Magnitude,mediated by,,,,
0,5,1,49.32737154,8.29E-61,0.004507261,,,,,
1,3,2,3.824946327,0.000814645,0.00035023,,,,,
2,6,2,12.77699597,1.78E-14,0.001169442,,,,,
3,2,3,32.88562221,8.16E-40,0.003007162,,,,,
4,5,3,9.866047262,6.63E-11,0.000903131,,,,Key,
5,6,3,11.70147575,3.77E-13,0.001071055,,,,1,self disclosure tutor
6,7,3,95.30420689,9.45E-120,0.008690155,,,,2,gaze partner tutor
7,3,4,15.18318793,9.77E-05,0.000231668,,,,3,smile tutor
8,8,4,15.79295013,7.07E-05,0.000240971,,,,4,shared experience tutor
9,1,5,83.43270225,1.60E-104,0.007611781,,,,5,self disclosure tutee
10,4,5,4.066111033,0.000442105,0.000372308,,,,6,gaze partner tutee
11,2,6,7.183661556,1.12E-07,0.000657668,,,,7,smile tutee
12,5,6,5.262723502,1.97E-05,0.000481848,,,,8,shared experience tutee
13,2,7,25.83361637,7.38E-31,0.002363066,,,,,
14,3,7,110.703161,1.69E-139,0.010087224,,,,,
15,6,7,23.80851476,2.70E-28,0.002178026,,,,,
16,1,8,12.25877123,0.000463384,0.000187051,,,,,
17,3,8,19.40042542,1.06E-05,0.000296006,,,,,
18,4,8,70.39841768,4.94E-17,0.0010737,,,,,
19,5,1,,,,2,,,,
20,3,2,,,,1,,,,
21,5,3,,,,1,,,,
22,3,4,,,,1,,,,
23,8,4,,,,1,,,,
24,1,5,,,,2,,,,
25,4,5,,,,1,,,,
26,5,6,,,,1,,,,
27,3,7,,,,1,,,,
28,1,8,,,,2,,,,
29,3,8,,,,1,,,,
30,4,8,,,,1,,,,
