,from,to,F,p,GC Magnitude,mediated by,,,,,
0,7,1,49.32737154,8.29E-61,0.004507261,,,,,,
1,3,2,3.824946327,0.000814645,0.00035023,,,,,,
2,6,2,4.55305782,0.000126478,0.000416885,,,,,,
3,8,2,12.77699597,1.78E-14,0.001169442,,,,Key,,
4,2,3,32.88562221,8.16E-40,0.003007162,,,,1,self disclosure tutor,
5,7,3,9.866047262,6.63E-11,0.000903131,,,,2,gaze partner tutor,
6,8,3,11.70147575,3.77E-13,0.001071055,,,,3,smile tutor,
7,9,3,95.30420689,9.45E-120,0.008690155,,,,4,shared experience tutor,
8,3,4,15.18318793,9.77E-05,0.000231668,,,,5,praise tutor,
9,10,4,15.79295013,7.07E-05,0.000240971,,,,6,deep question tutor,
10,6,5,6.736559517,3.79E-07,0.000616748,,,,7,self disclosure tutee,
11,5,6,52.67826174,4.26E-65,0.004812711,,,,8,gaze partner tutee,
12,1,7,83.43270225,1.60E-104,0.007611781,,,,9,smile tutee,
13,4,7,4.066111033,0.000442105,0.000372308,,,,10,shared experience tutee,
14,2,8,7.183661556,1.12E-07,0.000657668,,,,11,praise tutee,
15,7,8,5.262723502,1.97E-05,0.000481848,,,,12,deep question tutee,
16,2,9,25.83361637,7.38E-31,0.002363066,,,,,,
17,3,9,110.703161,1.69E-139,0.010087224,,,,,,
18,8,9,23.80851476,2.70E-28,0.002178026,,,,,,
19,11,9,5.321327559,1.69E-05,0.000487212,,,,,,
20,1,10,12.25877123,0.000463384,0.000187051,,,,,,
21,3,10,19.40042542,1.06E-05,0.000296006,,,,,,
22,4,10,70.39841768,4.94E-17,0.0010737,,,,,,
23,3,11,14.01365343,0.000181643,0.000213825,,,,,,
24,11,12,11.82150364,1.34E-09,0.000721421,,,,,,
25,7,1,,,,2,,,,,
26,6,2,,,,1,,,,,
27,7,3,,,,1,,,,,
28,9,3,,,,1,,,,,
29,6,5,,,,1,,,,,
30,1,7,,,,2,,,,,
31,4,7,,,,1,,,,,
32,7,8,,,,1,,,,,
33,11,9,,,,1,,,,,
34,1,10,,,,2,,,,,
35,4,10,,,,1,,,,,
36,11,12,,,,1,,,,,
