,from,to,F,p,GC Magnitude,mediated by,,,
0,7,1,11.18931547,8.42E-11,0.000853534,,,,
1,12,1,27.25242568,1.17E-32,0.002492686,,,,
2,13,1,49.32737154,8.29E-61,0.004507261,,,,
3,21,1,7.106734431,1.38E-07,0.000650628,,,Key,
4,24,1,37.96498287,2.74E-46,0.003470829,,,1,self disclosure tutor
5,6,2,4.55305782,0.000126478,0.000416885,,,2,gaze partner tutor
6,7,2,14.4224482,1.63E-16,0.001319946,,,3,smile tutor
7,8,2,8.333073663,4.74E-09,0.000762858,,,4,shared experience tutor
8,12,2,35.86395299,1.31E-43,0.003279063,,,5,praise tutor
9,14,2,12.77699597,1.78E-14,0.001169442,,,6,deep question tutor 
10,21,2,14.43596657,1.57E-16,0.001321183,,,7,gaze worksheet tutor
11,24,2,19.06987576,2.53E-22,0.001744909,,,8,correct feedback tutor
12,16,3,15.79295013,7.07E-05,0.000240971,,,9,knowledge telling tutor
13,24,3,15.99273997,6.37E-05,0.000244019,,,10,knowledge building tutor
14,16,4,15.79295013,7.07E-05,0.000240971,,,11,inclusive language tutor
15,24,4,15.99273997,6.37E-05,0.000244019,,,12,VSN tutor
16,6,5,6.736559517,3.79E-07,0.000616748,,,13,self disclosure tutee
17,9,5,5.683178823,6.46E-06,0.000520334,,,14,gaze partner tutee
18,21,5,5.406060858,1.35E-05,0.000494968,,,15,smile tutee
19,5,6,52.67826174,4.26E-65,0.004812711,,,16,shared experience tutee
20,8,6,5.236756492,2.11E-05,0.000479471,,,17,praise tutee
21,10,6,3.895699517,0.000681357,0.000356707,,,18,deep question tutee
22,12,6,3.766548722,0.000943684,0.000344884,,,19,gaze worksheet tutee
23,1,7,8.57576628,2.42E-09,0.000785066,,,20,correct feedback tutee
24,2,7,219.9326959,4.20E-279,0.019941428,,,21,knnowledge telling tutee
25,8,7,18.11338766,4.02E-21,0.001657462,,,22,knowledge building tutee
26,12,7,45.45395869,7.46E-56,0.004154064,,,23,inclusive language tutee
27,13,7,6.382493516,9.88E-07,0.000584342,,,24,VSN tutee
28,14,7,18.52955726,1.21E-21,0.001695511,,,,
29,15,7,5.353189436,1.55E-05,0.000490129,,,,
30,21,7,23.92371568,1.93E-28,0.002188554,,,,
31,24,7,44.71907677,6.49E-55,0.00408704,,,,
32,2,8,8.311945198,5.03E-09,0.000760924,,,,
33,6,8,13.54062735,2.02E-15,0.001239292,,,,
34,7,8,12.36203616,5.79E-14,0.001131483,,,,
35,9,8,15.13855147,2.10E-17,0.001385439,,,,
36,12,8,35.67435071,2.29E-43,0.003261756,,,,
37,15,8,4.671457866,9.30E-05,0.000427724,,,,
38,21,8,199.6921499,5.47E-212,0.015124304,,,,
39,22,8,12.76667034,0.000353103,0.0001948,,,,
40,24,8,31.33165912,7.74E-38,0.002865266,,,,
41,1,9,4.763845864,7.31E-05,0.000436181,,,,
42,2,9,13.42229792,2.83E-15,0.001228468,,,,
43,6,9,5.312578244,1.73E-05,0.000486411,,,,
44,8,9,5.134408852,2.77E-05,0.000470102,,,,
45,10,9,13.37936666,3.20E-15,0.001224541,,,,
46,12,9,49.7233151,2.58E-61,0.004543358,,,,
47,13,9,4.845832058,5.90E-05,0.000443686,,,,
48,15,9,7.275828747,8.71E-08,0.000666103,,,,
49,19,9,28.24636979,6.44E-34,0.002583482,,,,
50,21,9,7.422387721,5.83E-08,0.000679516,,,,
51,24,9,42.2028261,1.07E-51,0.003857514,,,,
52,6,10,5.77324017,2.47E-05,0.000440481,,,,
53,9,10,17.69765193,1.44E-17,0.001349663,,,,
54,12,10,13.65862219,2.36E-13,0.001041798,,,,
55,18,10,13.50440266,3.41E-13,0.001030041,,,,
56,22,10,7.008268685,1.48E-06,0.000534684,,,,
57,24,10,12.13085522,9.02E-12,0.000925323,,,,
58,18,11,4.670854173,0.000907834,0.000285107,,,,
59,23,11,17.77419541,1.36E-14,0.001084494,,,,
60,2,12,33.50504722,1.33E-40,0.003063717,,,,
61,7,12,37.4349205,1.30E-45,0.003422452,,,,
62,8,12,8.75917862,1.46E-09,0.00080185,,,,
63,9,12,28.65110374,1.97E-34,0.002620451,,,,
64,10,12,5.596112063,8.15E-06,0.000512364,,,,
65,13,12,24.51752477,3.42E-29,0.002242815,,,,
66,14,12,11.88419456,2.25E-13,0.001087771,,,,
67,15,12,28.71246225,1.65E-34,0.002626056,,,,
68,16,12,8.783981052,1.36E-09,0.00080412,,,,
69,19,12,5.747088268,5.45E-06,0.000526184,,,,
70,21,12,43.04664682,8.91E-53,0.003934491,,,,
71,24,12,323.7265585,0,0.029216121,,,,
72,1,13,83.43270225,1.60E-104,0.007611781,,,,
73,3,13,4.066111033,0.000442105,0.000372308,,,,
74,4,13,4.066111033,0.000442105,0.000372308,,,,
75,7,13,4.835615312,6.06E-05,0.000442751,,,,
76,9,13,4.28260939,0.000254122,0.000392127,,,,
77,12,13,48.87493665,3.14E-60,0.004466013,,,,
78,21,13,5.342247144,1.60E-05,0.000489127,,,,
79,24,13,31.29291093,8.67E-38,0.002861727,,,,
80,2,14,7.183661556,1.12E-07,0.000657668,,,,
81,7,14,4.857784939,5.72E-05,0.00044478,,,,
82,8,14,11.47830756,7.08E-13,0.001050639,,,,
83,9,14,6.037668172,2.50E-06,0.000552781,,,,
84,12,14,7.21366242,1.03E-07,0.000660414,,,,
85,13,14,5.262723502,1.97E-05,0.000481848,,,,
86,19,14,74.90016287,1.40E-93,0.006835989,,,,
87,21,14,6.922036811,2.29E-07,0.000633724,,,,
88,24,14,16.26414532,8.27E-19,0.001488373,,,,
89,2,15,25.83361637,7.38E-31,0.002363066,,,,
90,7,15,21.12804754,6.52E-25,0.001933051,,,,
91,8,15,6.170527928,1.75E-06,0.000564942,,,,
92,9,15,9.525459308,1.72E-10,0.000871968,,,,
93,12,15,53.21602829,8.72E-66,0.004861723,,,,
94,14,15,23.80851476,2.70E-28,0.002178026,,,,
95,17,15,5.321327559,1.69E-05,0.000487212,,,,
96,21,15,9.387925294,2.53E-10,0.000859383,,,,
97,24,15,56.71233296,2.90E-70,0.005180313,,,,
98,1,16,12.25877123,0.000463384,0.000187051,,,,
99,3,16,70.39841768,4.94E-17,0.0010737,,,,
100,4,16,70.39841768,4.94E-17,0.0010737,,,,
101,12,16,30.48361738,3.38E-08,0.00046507,,,,
102,20,17,190.7036828,2.57E-43,0.002905903,,,,
103,17,18,11.82150364,1.34E-09,0.000721421,,,,
104,22,18,6.758571795,1.96E-05,0.000412514,,,,
105,7,19,20.24808634,8.36E-24,0.001852616,,,,
106,8,19,6.941851492,2.17E-07,0.000635538,,,,
107,9,19,10.86538044,4.00E-12,0.000994564,,,,
108,12,19,10.07651005,3.68E-11,0.000922388,,,,
109,14,19,893.3453664,0,0.078638502,,,,
110,15,19,9.407746933,2.39E-10,0.000861197,,,,
111,18,19,4.131661874,0.000374043,0.000378309,,,,
112,20,19,7.207003025,1.05E-07,0.000659805,,,,
113,21,19,15.90057425,2.35E-18,0.001455126,,,,
114,24,19,7.905659522,1.54E-08,0.000723744,,,,
115,7,20,5.360311453,6.25E-05,0.000408982,,,,
116,9,20,42.75672786,7.02E-36,0.00260682,,,,
117,10,20,7.070177603,1.29E-06,0.000539406,,,,
118,12,20,4.662127261,0.000922255,0.000284574,,,,
119,19,20,11.24181203,7.44E-11,0.000857537,,,,
120,22,20,10.59804726,3.41E-10,0.00080845,,,,
121,1,21,6.901723828,2.42E-07,0.000631865,,,,
122,2,21,15.38829394,1.02E-17,0.001408278,,,,
123,6,21,23.71562413,3.54E-28,0.002169538,,,,
124,7,21,12.3890243,5.36E-14,0.001133952,,,,
125,8,21,27.3308601,9.34E-33,0.002499852,,,,
126,9,21,12.0154444,1.55E-13,0.001099778,,,,
127,12,21,48.88828981,3.02E-60,0.00446723,,,,
128,13,21,4.031167042,0.000483229,0.000369109,,,,
129,14,21,21.40191655,2.94E-25,0.001958084,,,,
130,15,21,4.242557248,0.00028163,0.000388461,,,,
131,22,21,7.263433713,9.01E-08,0.000664969,,,,
132,24,21,48.46076794,1.06E-59,0.004428251,,,,
133,12,22,5.290852321,7.30E-05,0.000403683,,,,
134,18,22,12.10677075,1.19E-13,0.001108132,,,,
135,21,22,10.96554511,1.43E-10,0.000836472,,,,
136,24,22,4.157665447,0.000889227,0.000317237,,,,
137,11,23,21.81152598,6.76E-22,0.001663135,,,,
138,1,24,26.22981099,2.32E-31,0.002399263,,,,
139,2,24,26.11741465,3.23E-31,0.002388995,,,,
140,3,24,5.958318975,3.09E-06,0.000545518,,,,
141,4,24,5.958318975,3.09E-06,0.000545518,,,,
142,7,24,36.23182574,4.45E-44,0.003312642,,,,
143,8,24,6.699720766,4.19E-07,0.000613377,,,,
144,9,24,23.19350702,1.62E-27,0.002121825,,,,
145,10,24,4.826638558,6.21E-05,0.000441929,,,,
146,12,24,294.9837372,0,0.026656353,,,,
147,13,24,6.958405204,2.07E-07,0.000637053,,,,
148,14,24,23.64856597,4.30E-28,0.00216341,,,,
149,15,24,28.46816747,3.37E-34,0.002603742,,,,
150,16,24,4.227739768,0.000292533,0.000387104,,,,
151,19,24,4.914149534,4.94E-05,0.00044994,,,,
152,21,24,38.97722995,1.40E-47,0.003563206,,,,
153,12,1,,,,2,,,
154,13,1,,,,2,,,
155,12,2,,,,1,,,
156,16,3,,,,1,,,
157,16,4,,,,1,,,
158,5,6,,,,1,,,
159,10,6,,,,1,,,
160,12,6,,,,1,,,
161,1,7,,,,2,,,
162,12,7,,,,1,,,
163,13,7,,,,1,,,
164,12,8,,,,1,,,
165,22,8,,,,1,,,
166,1,9,,,,2,,,
167,10,9,,,,1,,,
168,12,9,,,,1,,,
169,13,9,,,,1,,,
170,12,10,,,,1,,,
171,18,10,,,,1,,,
172,22,10,,,,1,,,
173,18,11,,,,1,,,
174,23,11,,,,1,,,
175,10,12,,,,1,,,
176,13,12,,,,1,,,
177,16,12,,,,1,,,
178,1,13,,,,2,,,
179,4,13,,,,1,,,
180,12,13,,,,1,,,
181,12,14,,,,1,,,
182,13,14,,,,1,,,
183,12,15,,,,1,,,
184,17,15,,,,1,,,
185,1,16,,,,2,,,
186,4,16,,,,1,,,
187,12,16,,,,1,,,
188,20,17,,,,1,,,
189,17,18,,,,1,,,
190,22,18,,,,1,,,
191,12,19,,,,1,,,
192,18,19,,,,1,,,
193,20,19,,,,1,,,
194,10,20,,,,1,,,
195,12,20,,,,1,,,
196,22,20,,,,1,,,
197,1,21,,,,2,,,
198,12,21,,,,1,,,
199,13,21,,,,1,,,
200,22,21,,,,1,,,
201,12,22,,,,1,,,
202,18,22,,,,1,,,
203,1,24,,,,2,,,
204,4,24,,,,1,,,
205,10,24,,,,1,,,
206,12,24,,,,1,,,
207,13,24,,,,1,,,
208,16,24,,,,1,,,
